element_type,osmid,amenity,name,geometry,wikidata,addr:city,addr:district,building,name:en,website,operator,building:levels,name:bn,wikipedia,addr:postcode,addr:street,level,name:ur,wikimedia_commons,addr:housenumber,opening_hours,nodes,designation,office,addr:housename,internet_access,source,access,surface,area,operator:type,religion,grades,ways,type,ward5wknn,index,points,rank,value
node,11299658043,school,"Chittagong Model School, CEPZ Connecting Rd, Chattogram",POINT (91.777082 22.3108368),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299667935,school,"E.P.Z Karnaphuli Model School, Hashem Manzil, CEPZ Connecting Rd, Chattogram",POINT (91.7756039 22.30733),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299674742,school,,POINT (91.7824446 22.3063284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299688768,college,"Halishahar Central College, Alishahpara Rd, Chattogram",POINT (91.7827079 22.3059382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299688974,school,"Halishahar Meher Afjal High School, Alishahpara Rd, Chattogram",POINT (91.7826977 22.3063745),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299714605,school,"Niscintapara Primary School, Niscintapara, Chattogram",POINT (91.7873132 22.3082644),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299714606,school,"Nishcintapara Govt. Primary School, Niscintapara, Chattogram",POINT (91.7875316 22.3081082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299735513,school,"Jahanara Begum Holy Child School, Alishahpara Rd, Chattogram",POINT (91.7814298 22.3030761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299743953,school,"Shikor Public School & College, Maiz Para Road, Chattogram",POINT (91.7864783 22.3056586),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299845373,school,"Holy Kids Grammar School, Jonab Ali Peshkar Road, Maijpara, Chattogram",POINT (91.7879022 22.303562),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299851989,school,"Halishahar Begumjan High School, South-Middle Halishahar, Chattogram",POINT (91.7889242 22.303317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299851990,school,"Begumjan High School, Halisahar, Chattogram",POINT (91.7884629 22.304188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11301545654,school,"Shabuj Shathi Ideal School, M. A Aziz Road, Chattogram",POINT (91.78681 22.3004624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11301586388,school,,POINT (91.7789555 22.2998061),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11306984894,school,"Tender Seedlings School, Port Connecting Rd, Chattogram",POINT (91.7886334 22.3332348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11306989292,school,"Garib-E-Newaz High School, Port Connecting Rd, Chattogram",POINT (91.7841462 22.335865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11306997332,school,"Dewpoint School, Port Connecting Rd, Chattogram",POINT (91.7862901 22.3355248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11306997544,school,"Memex Polytechnic & BM College-Junior Branch, Rupsi Housing Gate, Polytechnic,  Chattogram",POINT (91.783388 22.3375552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11323060530,school,"SOS Hermann Gmeiner School, Halishahar, Chattogram",POINT (91.7806381 22.3408503),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11330352129,school,"Chittagong Residential School & College (Halishahar Campus), Halishahar, Chattogram",POINT (91.7867557 22.3363517),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11330357648,school,"Halishahar Cantonment Public School, 1 Somoy Rd, Chattogram",POINT (91.7814337 22.3402579),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11330366085,school,"Halishahar Cantonment Public School & College, New A Block, Chattogram",POINT (91.7817552 22.3400286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11330429354,school,"Ibn Sina School & College, Halishahar, Chattogram",POINT (91.7837676 22.3421971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11330429986,school,"Cambridge grammar school, Chuna Factory Lane, Chattogram",POINT (91.7854909 22.3426976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11330451833,school,"Genius Public School, House- 02, Lane- 02, Block- J, Halishahar, Chattogram",POINT (91.782301 22.3413785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11330461729,school,"Childcare Public School, Artilari Road, Chattogram",POINT (91.7824952 22.3431599),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
